level,id,dataset,ie_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
wB97M-V__aug-cc-pVTZ,IE-SSI-011ILE-024ILE-1,SSI,-0.550020515,-0.588,0.037979485,0.037979485
wB97M-V__aug-cc-pVTZ,IE-SSI-081GLN-085ASP-1,SSI,-22.54845504,-22.487,-0.061455039,0.061455039
wB97M-V__aug-cc-pVTZ,IE-SSI-138VAL-144ARG-1,SSI,-1.752167249,-1.647,-0.105167249,0.105167249
wB97M-V__aug-cc-pVTZ,IE-SSI-175VAL-274ASP-1,SSI,-7.003813002,-6.954,-0.049813002,0.049813002
wB97M-V__aug-cc-pVTZ,IE-SSI-059PHE-063ASN-1,SSI,-4.196157401,-3.97,-0.226157401,0.226157401
wB97M-V__aug-cc-pVTZ,IE-SSI-150LEU-153PHE-1,SSI,-0.673906898,-0.825,0.151093102,0.151093102
wB97M-V__aug-cc-pVTZ,IE-SSI-039ARG-043ASN-2,SSI,5.142351413,4.952,0.190351413,0.190351413
wB97M-V__aug-cc-pVTZ,IE-SSI-159PHE-206ILE-1,SSI,-0.611337053,-0.729,0.117662947,0.117662947
wB97M-V__aug-cc-pVTZ,IE-SSI-119PHE-176THR-1,SSI,-1.016154433,-1.049,0.032845567,0.032845567
wB97M-V__aug-cc-pVTZ,IE-SSI-077ALA-138ARG-2,SSI,-0.118455393,-0.135,0.016544607,0.016544607
wB97M-V__aug-cc-pVTZ,IE-SSI-034ALA-152GLU-1,SSI,-4.137132138,-4.16,0.022867862,0.022867862
wB97M-V__aug-cc-pVTZ,IE-SSI-072ARG-118TYR-2,SSI,-6.16002962,-6.143,-0.01702962,0.01702962
wB97M-V__aug-cc-pVTZ,IE-SSI-013ASP-016GLU-1,SSI,62.72736224,62.779,-0.051637755,0.051637755
wB97M-V__aug-cc-pVTZ,IE-SSI-163LEU-175LEU-1,SSI,-0.044741813,-0.079,0.034258187,0.034258187
wB97M-V__aug-cc-pVTZ,IE-SSI-009ARG-023GLU-1,SSI,-95.90548592,-96.103,0.19751408,0.19751408
wB97M-V__aug-cc-pVTZ,IE-SSI-099TRP-272GLU-1,SSI,-24.22256758,-24.561,0.338432425,0.338432425
wB97M-V__aug-cc-pVTZ,IE-SSI-032ILE-036GLU-1,SSI,-0.712032704,-0.777,0.064967296,0.064967296
wB97M-V__aug-cc-pVTZ,IE-SSI-040TYR-076VAL-1,SSI,-1.295084969,-1.25,-0.045084969,0.045084969
wB97M-V__aug-cc-pVTZ,IE-SSI-170LEU-178LEU-1,SSI,-0.928800512,-0.969,0.040199488,0.040199488
wB97M-V__aug-cc-pVTZ,IE-SSI-240ASP-270SER-1,SSI,-18.25889305,-18.106,-0.152893054,0.152893054
wB97M-V__aug-cc-pVTZ,IE-SSI-114ALA-160ALA-1,SSI,-0.424210865,-0.487,0.062789135,0.062789135
wB97M-V__aug-cc-pVTZ,IE-SSI-089THR-098LEU-1,SSI,-0.499729832,-0.567,0.067270168,0.067270168
wB97M-V__aug-cc-pVTZ,IE-SSI-051GLN-089GLU-2,SSI,-25.05884027,-24.845,-0.213840274,0.213840274
wB97M-V__aug-cc-pVTZ,IE-SSI-024SER-038THR-1,SSI,3.87630697,3.878,-0.00169303,0.00169303
wB97M-V__aug-cc-pVTZ,IE-SSI-015THR-060HIE-1,SSI,-8.830351757,-8.898,0.067648243,0.067648243
wB97M-V__aug-cc-pVTZ,IE-SSI-113LYS-117GLU-2,SSI,-3.821444881,-3.809,-0.012444881,0.012444881
wB97M-V__aug-cc-pVTZ,IE-SSI-055ASP-104LYS-1,SSI,-86.82738489,-86.772,-0.055384892,0.055384892
wB97M-V__aug-cc-pVTZ,IE-SSI-039ASN-081SER-1,SSI,-1.768463825,-1.723,-0.045463825,0.045463825
wB97M-V__aug-cc-pVTZ,IE-SSI-183GLN-205LEU-1,SSI,0.13701191,0.073,0.06401191,0.06401191
wB97M-V__aug-cc-pVTZ,IE-SSI-193HIE-248MET-1,SSI,-0.812588513,-0.852,0.039411487,0.039411487
wB97M-V__aug-cc-pVTZ,IE-SSI-008SER-032SER-1,SSI,-5.452363735,-5.485,0.032636265,0.032636265
wB97M-V__aug-cc-pVTZ,IE-SSI-029PRO-085GLU-1,SSI,-11.04668145,-10.971,-0.075681449,0.075681449
wB97M-V__aug-cc-pVTZ,IE-SSI-017ASP-060HIE-1,SSI,-8.035374921,-7.929,-0.106374921,0.106374921
wB97M-V__aug-cc-pVTZ,IE-SSI-019THR-022MET-1,SSI,-1.371401538,-1.311,-0.060401538,0.060401538
wB97M-V__aug-cc-pVTZ,IE-SSI-136ASP-201VAL-1,SSI,-3.342210108,-3.24,-0.102210108,0.102210108
wB97M-V__aug-cc-pVTZ,IE-SSI-028SER-056GLU-1,SSI,-2.863223842,-2.805,-0.058223842,0.058223842
wB97M-V__aug-cc-pVTZ,IE-SSI-128PHE-252LEU-1,SSI,-0.492229007,-0.584,0.091770993,0.091770993
wB97M-V__aug-cc-pVTZ,IE-SSI-102HIE-272GLN-1,SSI,-5.625422939,-5.6,-0.025422939,0.025422939
wB97M-V__aug-cc-pVTZ,IE-SSI-024THR-041GLU-1,SSI,-4.013480595,-3.946,-0.067480595,0.067480595
wB97M-V__aug-cc-pVTZ,IE-SSI-063GLN-136TRP-1,SSI,-3.868553526,-3.681,-0.187553526,0.187553526
wB97M-V__aug-cc-pVTZ,IE-SSI-060THR-176ARG-1,SSI,-12.81562419,-12.928,0.112375812,0.112375812
wB97M-V__aug-cc-pVTZ,IE-SSI-078PHE-107ALA-2,SSI,-0.917918367,-0.959,0.041081633,0.041081633
wB97M-V__aug-cc-pVTZ,IE-SSI-034ASP-061ARG-1,SSI,-82.53124377,-82.272,-0.259243775,0.259243775
wB97M-V__aug-cc-pVTZ,IE-SSI-149PHE-159ILE-1,SSI,-1.990492112,-1.849,-0.141492112,0.141492112
wB97M-V__aug-cc-pVTZ,IE-SSI-042SER-062ASP-1,SSI,3.628101203,3.665,-0.036898797,0.036898797
wB97M-V__aug-cc-pVTZ,IE-SSI-064TYR-083LEU-1,SSI,-1.001113881,-1.053,0.051886119,0.051886119
wB97M-V__aug-cc-pVTZ,IE-SSI-022GLN-147TYR-1,SSI,-5.538269576,-5.468,-0.070269576,0.070269576
wB97M-V__aug-cc-pVTZ,IE-SSI-048ASN-052ASN-1,SSI,-5.012819953,-4.84,-0.172819953,0.172819953
wB97M-V__aug-cc-pVTZ,IE-SSI-107VAL-147PHE-2,SSI,-0.856436205,-0.905,0.048563795,0.048563795
wB97M-V__aug-cc-pVTZ,IE-SSI-149PRO-152GLN-1,SSI,-3.170347413,-3.151,-0.019347413,0.019347413
wB97M-V__aug-cc-pVTZ,IE-SSI-109VAL-164ILE-1,SSI,-0.307585107,-0.36,0.052414893,0.052414893
wB97M-V__aug-cc-pVTZ,IE-SSI-050VAL-054THR-1,SSI,1.688345632,1.615,0.073345632,0.073345632
wB97M-V__aug-cc-pVTZ,IE-SSI-091HIE-118THR-2,SSI,-2.638711933,-2.569,-0.069711933,0.069711933
wB97M-V__aug-cc-pVTZ,IE-SSI-032VAL-080ARG-1,SSI,0.341521256,0.236,0.105521256,0.105521256
wB97M-V__aug-cc-pVTZ,IE-SSI-096GLU-121LYS-1,SSI,-4.276223209,-4.251,-0.025223209,0.025223209
wB97M-V__aug-cc-pVTZ,IE-SSI-162ALA-174ILE-1,SSI,-0.595925353,-0.664,0.068074647,0.068074647
wB97M-V__aug-cc-pVTZ,IE-SSI-057GLU-061ARG-1,SSI,-88.82326895,-88.938,0.114731054,0.114731054
wB97M-V__aug-cc-pVTZ,IE-SSI-031PHE-092TRP-2,SSI,-2.950482066,-2.854,-0.096482066,0.096482066
wB97M-V__aug-cc-pVTZ,IE-SSI-037ARG-152GLU-1,SSI,-119.0465666,-119.367,0.320433354,0.320433354
wB97M-V__aug-cc-pVTZ,IE-SSI-011TYR-051GLU-1,SSI,-10.56999186,-10.573,0.00300814,0.00300814
wB97M-V__aug-cc-pVTZ,IE-SSI-020SER-058VAL-1,SSI,-0.095615698,-0.139,0.043384302,0.043384302
wB97M-V__aug-cc-pVTZ,IE-SSI-026PHE-118ILE-1,SSI,-1.037993061,-1.161,0.123006939,0.123006939
wB97M-V__aug-cc-pVTZ,IE-SSI-112ILE-125VAL-1,SSI,-0.070462665,-0.142,0.071537335,0.071537335
wB97M-V__aug-cc-pVTZ,IE-SSI-020LYS-040GLU-1,SSI,-122.287135,-122.006,-0.281135009,0.281135009
wB97M-V__aug-cc-pVTZ,IE-SSI-143GLN-147GLU-1,SSI,-23.6818916,-23.53,-0.151891598,0.151891598
wB97M-V__aug-cc-pVTZ,IE-SSI-015LYS-047TYR-2,SSI,-13.37687334,-13.365,-0.011873344,0.011873344
wB97M-V__aug-cc-pVTZ,IE-SSI-249ILE-269MET-1,SSI,-0.502730951,-0.594,0.091269049,0.091269049
wB97M-V__aug-cc-pVTZ,IE-SSI-009TYR-035SER-1,SSI,-1.261400645,-1.333,0.071599355,0.071599355
wB97M-V__aug-cc-pVTZ,IE-SSI-039THR-046THR-1,SSI,-5.238826321,-5.273,0.034173679,0.034173679
wB97M-V__aug-cc-pVTZ,IE-SSI-011HIE-304SER-1,SSI,1.466946089,1.164,0.302946089,0.302946089
wB97M-V__aug-cc-pVTZ,IE-SSI-012GLU-068HIE-1,SSI,12.13741496,11.959,0.178414956,0.178414956
wB97M-V__aug-cc-pVTZ,IE-SSI-008ASN-030LYS-1,SSI,-25.73757071,-25.303,-0.434570706,0.434570706
wB97M-V__aug-cc-pVTZ,IE-SSI-012TYR-087PRO-1,SSI,-4.64308566,-4.249,-0.39408566,0.39408566
wB97M-V__aug-cc-pVTZ,IE-SSI-061LEU-079ALA-1,SSI,-0.367072877,-0.426,0.058927123,0.058927123
wB97M-V__aug-cc-pVTZ,IE-SSI-052ASN-061ASN-1,SSI,-7.159097485,-7.124,-0.035097485,0.035097485
wB97M-V__aug-cc-pVTZ,IE-SSI-091VAL-094ASP-1,SSI,-0.12515512,-0.14,0.01484488,0.01484488
