id,level,ae_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
AE-TAE140-108,M06-2X__Def2TZVPP,-336.1605988830192,-346.943,10.782401116980793,10.782401116980793
AE-TAE140-4,M06-2X__Def2TZVPP,-322.10596172739486,-324.945,2.839038272605137,2.839038272605137
AE-TAE140-125,M06-2X__Def2TZVPP,-224.24779687018724,-227.882,3.634203129812761,3.634203129812761
AE-TAE140-95,M06-2X__Def2TZVPP,-190.3107374736948,-193.052,2.7412625263052064,2.7412625263052064
AE-TAE140-29,M06-2X__Def2TZVPP,-512.5033762501472,-513.501,0.997623749852778,0.997623749852778
AE-TAE140-122,M06-2X__Def2TZVPP,-200.3710771926855,-208.781,8.409922807314501,8.409922807314501
AE-TAE140-52,M06-2X__Def2TZVPP,-163.40793187496587,-163.78,0.3720681250341329,0.3720681250341329
AE-TAE140-140,M06-2X__Def2TZVPP,-1.9766611909871077,-2.669,0.6923388090128924,0.6923388090128924
AE-TAE140-71,M06-2X__Def2TZVPP,-400.49744811085435,-398.472,-2.02544811085437,2.02544811085437
AE-TAE140-42,M06-2X__Def2TZVPP,-573.6983690612644,-577.78,4.081630938735543,4.081630938735543
AE-TAE140-59,M06-2X__Def2TZVPP,-322.2733118989568,-322.477,0.2036881010431557,0.2036881010431557
AE-TAE140-17,M06-2X__Def2TZVPP,-178.9255864223486,-181.456,2.5304135776513874,2.5304135776513874
AE-TAE140-66,M06-2X__Def2TZVPP,-334.8590199030188,-336.249,1.389980096981219,1.389980096981219
AE-TAE140-74,M06-2X__Def2TZVPP,-266.36927897467274,-266.163,-0.2062789746727276,0.2062789746727276
AE-TAE140-31,M06-2X__Def2TZVPP,-180.54045025841168,-182.591,2.050549741588327,2.050549741588327
AE-TAE140-129,M06-2X__Def2TZVPP,-222.02199996079597,-234.348,12.326000039204047,12.326000039204047
AE-TAE140-107,M06-2X__Def2TZVPP,-176.55901418255579,-181.35,4.790985817444209,4.790985817444209
AE-TAE140-68,M06-2X__Def2TZVPP,-403.436915364,-403.743,0.30608463599998004,0.30608463599998004
AE-TAE140-80,M06-2X__Def2TZVPP,-266.73976887007046,-269.089,2.349231129929535,2.349231129929535
AE-TAE140-63,M06-2X__Def2TZVPP,-535.0369184340615,-533.462,-1.5749184340614875,1.5749184340614875
AE-TAE140-127,M06-2X__Def2TZVPP,-162.1031658050113,-168.364,6.260834194988718,6.260834194988718
AE-TAE140-20,M06-2X__Def2TZVPP,-87.45533783924829,-87.731,0.2756621607517076,0.2756621607517076
AE-TAE140-113,M06-2X__Def2TZVPP,-124.83698019218033,-126.465,1.628019807819669,1.628019807819669
AE-TAE140-119,M06-2X__Def2TZVPP,-121.92508102535591,-120.824,-1.10108102535591,1.10108102535591
AE-TAE140-53,M06-2X__Def2TZVPP,-803.9912192236349,-804.017,0.02578077636519538,0.02578077636519538
AE-TAE140-43,M06-2X__Def2TZVPP,-474.6976351790584,-470.973,-3.724635179058396,3.724635179058396
AE-TAE140-130,M06-2X__Def2TZVPP,-51.03044198944924,-53.075,2.044558010550766,2.044558010550766
AE-TAE140-30,M06-2X__Def2TZVPP,-105.75406652530287,-107.499,1.7449334746971203,1.7449334746971203
AE-TAE140-28,M06-2X__Def2TZVPP,-562.2009770444331,-564.095,1.8940229555669248,1.8940229555669248
AE-TAE140-139,M06-2X__Def2TZVPP,-85.86372991971982,-105.239,19.37527008028019,19.37527008028019
AE-TAE140-137,M06-2X__Def2TZVPP,-137.6915350696546,-152.369,14.677464930345394,14.677464930345394
AE-TAE140-82,M06-2X__Def2TZVPP,-435.8300243833186,-434.737,-1.09302438331855,1.09302438331855
AE-TAE140-55,M06-2X__Def2TZVPP,-373.2542388188764,-374.658,1.4037611811236275,1.4037611811236275
AE-TAE140-64,M06-2X__Def2TZVPP,-142.72666987355083,-142.71,-0.016669873550824832,0.016669873550824832
AE-TAE140-98,M06-2X__Def2TZVPP,-364.71851356956205,-364.971,0.2524864304379548,0.2524864304379548
AE-TAE140-49,M06-2X__Def2TZVPP,-359.0913463611833,-359.934,0.8426536388167278,0.8426536388167278
AE-TAE140-67,M06-2X__Def2TZVPP,-633.7332981066629,-635.101,1.3677018933370846,1.3677018933370846
AE-TAE140-78,M06-2X__Def2TZVPP,-422.4102286861314,-420.636,-1.77422868613138,1.77422868613138
AE-TAE140-84,M06-2X__Def2TZVPP,-259.3483915629292,-258.782,-0.5663915629291978,0.5663915629291978
AE-TAE140-6,M06-2X__Def2TZVPP,-84.57883007059145,-84.995,0.4161699294085537,0.4161699294085537
AE-TAE140-123,M06-2X__Def2TZVPP,-118.63579447877937,-117.593,-1.0427944787793706,1.0427944787793706
AE-TAE140-56,M06-2X__Def2TZVPP,-342.25834675494593,-343.749,1.4906532450540908,1.4906532450540908
AE-TAE140-27,M06-2X__Def2TZVPP,-473.67179624832704,-474.629,0.9572037516729779,0.9572037516729779
AE-TAE140-93,M06-2X__Def2TZVPP,-223.92450872375176,-224.864,0.9394912762482477,0.9394912762482477
